Alpha,LName,fName,mName,company,platoon,squad,dutySection,roomNumber_id,phoneNumber,weekends,weekendsComment,CQPR,SQPR,performanceGrade,conductGrade,PRT,,,,,,
112598,GRIFFIN,MERYDEN,,25,3,2,3,,1111111121,16,,3,3,B,B,90,"('112598','GRIFFIN','MERYDEN','','25','3','2','3','','1111111121','16','','3','3','B','B','90'),",,,,,
112634,GUIDRY,STEVE,,25,4,3,4,,1111111122,16,,3,3,C,C,90,"('112634','GUIDRY','STEVE','','25','4','3','4','','1111111122','16','','3','3','C','C','90'),",,,,,
112802,HARRISON,MICHAEL,,25,1,1,5,,1111111123,16,,3,3,A,A,90,"('112802','HARRISON','MICHAEL','','25','1','1','5','','1111111123','16','','3','3','A','A','90'),",,,,,
112826,HATLEY,DMITRI,,25,2,2,6,,1111111124,16,,3,3,B,B,90,"('112826','HATLEY','DMITRI','','25','2','2','6','','1111111124','16','','3','3','B','B','90'),",,,,,
112910,HENEVELD,HEATH,,25,3,3,7,,1111111125,16,,3,3,C,C,90,"('112910','HENEVELD','HEATH','','25','3','3','7','','1111111125','16','','3','3','C','C','90'),",,,,,
114104,MARTINETTE,SAMUEL,,25,4,1,8,,1111111126,16,,3,3,A,A,90,"('114104','MARTINETTE','SAMUEL','','25','4','1','8','','1111111126','16','','3','3','A','A','90'),",,,,,
114146,MAXWELL,JESSICA,,25,1,2,1,,1111111127,16,,3,3,B,B,90,"('114146','MAXWELL','JESSICA','','25','1','2','1','','1111111127','16','','3','3','B','B','90'),",,,,,
114308,MCSHEA,BRIAN,,25,2,3,2,,1111111128,16,,3,3,C,C,90,"('114308','MCSHEA','BRIAN','','25','2','3','2','','1111111128','16','','3','3','C','C','90'),",,,,,
114524,MOLETT,CHERIE,,25,3,1,3,,1111111129,16,,3,3,A,A,90,"('114524','MOLETT','CHERIE','','25','3','1','3','','1111111129','16','','3','3','A','A','90'),",,,,,
114944,ODONNELL,RORY,,25,4,2,4,,1111111130,16,,3,3,B,B,90,"('114944','ODONNELL','RORY','','25','4','2','4','','1111111130','16','','3','3','B','B','90'),",,,,,
115496,REESE,DANIEL,,25,1,3,5,,1111111131,16,,3,3,C,C,90,"('115496','REESE','DANIEL','','25','1','3','5','','1111111131','16','','3','3','C','C','90'),",,,,,
115514,REMICK,DAVID,,25,2,1,6,,1111111132,16,,3,3,A,A,90,"('115514','REMICK','DAVID','','25','2','1','6','','1111111132','16','','3','3','A','A','90'),",,,,,
115706,ROMOSER,KEITH,,25,3,2,7,,1111111133,16,,3,3,B,B,90,"('115706','ROMOSER','KEITH','','25','3','2','7','','1111111133','16','','3','3','B','B','90'),",,,,,
115856,SADDORIS,BRYCE,,25,4,3,8,,1111111134,16,,3,3,C,C,90,"('115856','SADDORIS','BRYCE','','25','4','3','8','','1111111134','16','','3','3','C','C','90'),",,,,,
116138,SHULTIS,PETER,,25,1,1,1,,1111111135,16,,3,3,A,A,90,"('116138','SHULTIS','PETER','','25','1','1','1','','1111111135','16','','3','3','A','A','90'),",,,,,
116228,SMITH,MICHAEL,,25,2,2,2,,1111111136,16,,3,3,B,B,90,"('116228','SMITH','MICHAEL','','25','2','2','2','','1111111136','16','','3','3','B','B','90'),",,,,,
116318,SPROULE,JESSICA,,25,3,3,3,,1111111137,16,,3,3,C,C,90,"('116318','SPROULE','JESSICA','','25','3','3','3','','1111111137','16','','3','3','C','C','90'),",,,,,
116330,STADLER,SARAH,,25,4,1,4,,1111111138,16,,3,3,A,A,90,"('116330','STADLER','SARAH','','25','4','1','4','','1111111138','16','','3','3','A','A','90'),",,,,,
116390,STEVENS-HAAS,JACOB,,25,1,2,5,,1111111139,16,,3,3,B,B,90,"('116390','STEVENS-HAAS','JACOB','','25','1','2','5','','1111111139','16','','3','3','B','B','90'),",,,,,
116426,STRIFFLER,BRIAN,,25,2,3,6,,1111111140,16,,3,3,C,C,90,"('116426','STRIFFLER','BRIAN','','25','2','3','6','','1111111140','16','','3','3','C','C','90'),",,,,,
116468,SUHR,MATTHEW,,25,3,1,7,,1111111141,16,,3,3,A,A,90,"('116468','SUHR','MATTHEW','','25','3','1','7','','1111111141','16','','3','3','A','A','90'),",,,,,
116528,TAGAN,PATRICK,,25,4,2,8,,1111111142,16,,3,3,B,B,90,"('116528','TAGAN','PATRICK','','25','4','2','8','','1111111142','16','','3','3','B','B','90'),",,,,,
116978,WEXLER,STEPHANIE,,25,1,3,1,,1111111143,16,,3,3,C,C,90,"('116978','WEXLER','STEPHANIE','','25','1','3','1','','1111111143','16','','3','3','C','C','90'),",,,,,
117062,WILLIAMS,JARED,,25,2,1,2,,1111111144,16,,3,3,A,A,90,"('117062','WILLIAMS','JARED','','25','2','1','2','','1111111144','16','','3','3','A','A','90'),",,,,,
117110,WITT,TUCKER,,25,3,2,3,,1111111145,16,,3,3,B,B,90,"('117110','WITT','TUCKER','','25','3','2','3','','1111111145','16','','3','3','B','B','90'),",,,,,
117236,ZIEMBA,GRAHAM,,25,4,3,4,,1111111146,16,,3,3,C,C,90,"('117236','ZIEMBA','GRAHAM','','25','4','3','4','','1111111146','16','','3','3','C','C','90'),",,,,,
120330,BARCELON,TERRENCE,,25,1,1,5,,1111111147,16,,3,3,A,A,90,"('120330','BARCELON','TERRENCE','','25','1','1','5','','1111111147','16','','3','3','A','A','90'),",,,,,
120822,BUONACCORSO,JOSEPH,,25,2,2,6,,1111111148,16,,3,3,B,B,90,"('120822','BUONACCORSO','JOSEPH','','25','2','2','6','','1111111148','16','','3','3','B','B','90'),",,,,,
120906,CAMERON,IAN,,25,3,3,7,,1111111149,16,,3,3,C,C,90,"('120906','CAMERON','IAN','','25','3','3','7','','1111111149','16','','3','3','C','C','90'),",,,,,
120936,CARLSON,ADAM,,25,4,1,8,,1111111150,16,,3,3,A,A,90,"('120936','CARLSON','ADAM','','25','4','1','8','','1111111150','16','','3','3','A','A','90'),",,,,,
121122,CHOI,WARREN,,25,1,2,1,,1111111151,16,,3,3,B,B,90,"('121122','CHOI','WARREN','','25','1','2','1','','1111111151','16','','3','3','B','B','90'),",,,,,
121176,COLE,JACOB,,25,2,3,2,,1111111152,16,,3,3,C,C,90,"('121176','COLE','JACOB','','25','2','3','2','','1111111152','16','','3','3','C','C','90'),",,,,,
121350,CRAWFORD,KELLEN,,25,3,1,3,,1111111153,16,,3,3,A,A,90,"('121350','CRAWFORD','KELLEN','','25','3','1','3','','1111111153','16','','3','3','A','A','90'),",,,,,
121398,CRUZ,SEAN,,25,4,2,4,,1111111154,16,,3,3,B,B,90,"('121398','CRUZ','SEAN','','25','4','2','4','','1111111154','16','','3','3','B','B','90'),",,,,,
121560,DEVUONO,CHRISTINA,,25,1,3,5,,1111111155,16,,3,3,C,C,90,"('121560','DEVUONO','CHRISTINA','','25','1','3','5','','1111111155','16','','3','3','C','C','90'),",,,,,
121710,DIXON,DANIELLE,,25,2,1,6,,1111111156,16,,3,3,A,A,90,"('121710','DIXON','DANIELLE','','25','2','1','6','','1111111156','16','','3','3','A','A','90'),",,,,,
122316,GAIDRY,ALICIA,,25,3,2,7,,1111111157,16,,3,3,B,B,90,"('122316','GAIDRY','ALICIA','','25','3','2','7','','1111111157','16','','3','3','B','B','90'),",,,,,
122406,GEHRKE,CHARLES,,25,4,3,8,,1111111158,16,,3,3,C,C,90,"('122406','GEHRKE','CHARLES','','25','4','3','8','','1111111158','16','','3','3','C','C','90'),",,,,,
122910,HEIN,MATTHEW,,25,1,1,1,,1111111159,16,,3,3,A,A,90,"('122910','HEIN','MATTHEW','','25','1','1','1','','1111111159','16','','3','3','A','A','90'),",,,,,
123342,JAMGOCHIAN,JOSEPH,,25,2,2,2,,1111111160,16,,3,3,B,B,90,"('123342','JAMGOCHIAN','JOSEPH','','25','2','2','2','','1111111160','16','','3','3','B','B','90'),",,,,,
124002,LEARY,TRAVIS,,25,3,3,3,,1111111161,16,,3,3,C,C,90,"('124002','LEARY','TRAVIS','','25','3','3','3','','1111111161','16','','3','3','C','C','90'),",,,,,
124050,LEONARD,NICOLE,,25,4,1,4,,1111111162,16,,3,3,A,A,90,"('124050','LEONARD','NICOLE','','25','4','1','4','','1111111162','16','','3','3','A','A','90'),",,,,,
124140,LOCKETT,CAROLINE,,25,1,2,5,,1111111163,16,,3,3,B,B,90,"('124140','LOCKETT','CAROLINE','','25','1','2','5','','1111111163','16','','3','3','B','B','90'),",,,,,
124224,LUCAS,ALLAN,,25,2,3,6,,1111111164,16,,3,3,C,C,90,"('124224','LUCAS','ALLAN','','25','2','3','6','','1111111164','16','','3','3','C','C','90'),",,,,,
124662,MELENDEZ,BENJAMIN,,25,3,1,7,,1111111165,16,,3,3,A,A,90,"('124662','MELENDEZ','BENJAMIN','','25','3','1','7','','1111111165','16','','3','3','A','A','90'),",,,,,
124800,MINKOFF,MATTHEW,,25,4,2,8,,1111111166,16,,3,3,B,B,90,"('124800','MINKOFF','MATTHEW','','25','4','2','8','','1111111166','16','','3','3','B','B','90'),",,,,,
124890,MORAN,SHANE,,25,1,3,1,,1111111167,16,,3,3,C,C,90,"('124890','MORAN','SHANE','','25','1','3','1','','1111111167','16','','3','3','C','C','90'),",,,,,
125334,PAULSON,ALLISON,,25,2,1,2,,1111111168,16,,3,3,A,A,90,"('125334','PAULSON','ALLISON','','25','2','1','2','','1111111168','16','','3','3','A','A','90'),",,,,,
125508,PRATT,MICHAEL,,25,3,2,3,,1111111169,16,,3,3,B,B,90,"('125508','PRATT','MICHAEL','','25','3','2','3','','1111111169','16','','3','3','B','B','90'),",,,,,
125529,PREVATT,RICHARD,,25,4,3,4,,1111111170,16,,3,3,C,C,90,"('125529','PREVATT','RICHARD','','25','4','3','4','','1111111170','16','','3','3','C','C','90'),",,,,,
125628,QUINN,JOSEPH,,25,1,1,5,,1111111171,16,,3,3,A,A,90,"('125628','QUINN','JOSEPH','','25','1','1','5','','1111111171','16','','3','3','A','A','90'),",,,,,
125634,RABA,DAVID,,25,2,2,6,,1111111172,16,,3,3,B,B,90,"('125634','RABA','DAVID','','25','2','2','6','','1111111172','16','','3','3','B','B','90'),",,,,,
125868,ROME,CODY,,25,3,3,7,,1111111173,16,,3,3,C,C,90,"('125868','ROME','CODY','','25','3','3','7','','1111111173','16','','3','3','C','C','90'),",,,,,
125946,RUSK,JORDAN,,25,4,1,8,,1111111174,16,,3,3,A,A,90,"('125946','RUSK','JORDAN','','25','4','1','8','','1111111174','16','','3','3','A','A','90'),",,,,,
126186,SERFASS,AMANDA,,25,1,2,1,,1111111175,16,,3,3,B,B,90,"('126186','SERFASS','AMANDA','','25','1','2','1','','1111111175','16','','3','3','B','B','90'),",,,,,
126390,SMITH,THOMAS,,25,2,3,2,,1111111176,16,,3,3,C,C,90,"('126390','SMITH','THOMAS','','25','2','3','2','','1111111176','16','','3','3','C','C','90'),",,,,,
126864,TORRES,ARMANDO,,25,3,1,3,,1111111177,16,,3,3,A,A,90,"('126864','TORRES','ARMANDO','','25','3','1','3','','1111111177','16','','3','3','A','A','90'),",,,,,
126924,TUMOLO,JAMES,,25,4,2,4,,1111111178,16,,3,3,B,B,90,"('126924','TUMOLO','JAMES','','25','4','2','4','','1111111178','16','','3','3','B','B','90'),",,,,,
126942,TYSON,CHRISTOPHER,,25,1,3,5,,1111111179,16,,3,3,C,C,90,"('126942','TYSON','CHRISTOPHER','','25','1','3','5','','1111111179','16','','3','3','C','C','90'),",,,,,
127134,WALTRIP,CHARLES,,25,2,1,6,,1111111180,16,,3,3,A,A,90,"('127134','WALTRIP','CHARLES','','25','2','1','6','','1111111180','16','','3','3','A','A','90'),",,,,,
127248,WEHNER,CHRISTOPHER,,25,3,2,7,,1111111181,16,,3,3,B,B,90,"('127248','WEHNER','CHRISTOPHER','','25','3','2','7','','1111111181','16','','3','3','B','B','90'),",,,,,
127278,WENDZICKI,GREGORY,,25,4,3,8,,1111111182,16,,3,3,C,C,90,"('127278','WENDZICKI','GREGORY','','25','4','3','8','','1111111182','16','','3','3','C','C','90'),",,,,,
127284,WENGLER,JACQUELINE,,25,1,1,1,,1111111183,16,,3,3,A,A,90,"('127284','WENGLER','JACQUELINE','','25','1','1','1','','1111111183','16','','3','3','A','A','90'),",,,,,
127386,WILLIAMS,CHRISTOPHER,,25,2,2,2,,1111111184,16,,3,3,B,B,90,"('127386','WILLIAMS','CHRISTOPHER','','25','2','2','2','','1111111184','16','','3','3','B','B','90'),",,,,,
127578,WRIGHT,JADE,,25,3,3,3,,1111111185,16,,3,3,C,C,90,"('127578','WRIGHT','JADE','','25','3','3','3','','1111111185','16','','3','3','C','C','90'),",,,,,
127626,YOUNG,CLAYTON,,25,4,1,4,,1111111186,16,,3,3,A,A,90,"('127626','YOUNG','CLAYTON','','25','4','1','4','','1111111186','16','','3','3','A','A','90'),",,,,,
129108,BARRINGTON,ZACHARY,,25,1,2,5,,1111111187,16,,3,3,B,B,90,"('129108','BARRINGTON','ZACHARY','','25','1','2','5','','1111111187','16','','3','3','B','B','90'),",,,,,
130084,ALEXANDER,SEAN,,25,2,3,6,,1111111188,16,,3,3,C,C,90,"('130084','ALEXANDER','SEAN','','25','2','3','6','','1111111188','16','','3','3','C','C','90'),",,,,,
130174,ARNDT,CHRISTOPHER,,25,3,1,7,,1111111189,16,,3,3,A,A,90,"('130174','ARNDT','CHRISTOPHER','','25','3','1','7','','1111111189','16','','3','3','A','A','90'),",,,,,
130654,BREWER,MARCUS,,25,4,2,8,,1111111190,16,,3,3,B,B,90,"('130654','BREWER','MARCUS','','25','4','2','8','','1111111190','16','','3','3','B','B','90'),",,,,,
130660,BREWER,MATTHEW,,25,1,3,1,,1111111191,16,,3,3,C,C,90,"('130660','BREWER','MATTHEW','','25','1','3','1','','1111111191','16','','3','3','C','C','90'),",,,,,
130720,BRUTON,COLIN,,25,2,1,2,,1111111192,16,,3,3,A,A,90,"('130720','BRUTON','COLIN','','25','2','1','2','','1111111192','16','','3','3','A','A','90'),",,,,,
130738,BRYANT,JAKE,,25,3,2,3,,1111111193,16,,3,3,B,B,90,"('130738','BRYANT','JAKE','','25','3','2','3','','1111111193','16','','3','3','B','B','90'),",,,,,
131002,CHATMAN,ALEXANDER,,25,4,3,4,,1111111194,16,,3,3,C,C,90,"('131002','CHATMAN','ALEXANDER','','25','4','3','4','','1111111194','16','','3','3','C','C','90'),",,,,,
131248,CORBETT,THOMAS,,25,1,1,5,,1111111195,16,,3,3,A,A,90,"('131248','CORBETT','THOMAS','','25','1','1','5','','1111111195','16','','3','3','A','A','90'),",,,,,
132550,GLENN,CIARDI,,25,2,2,6,,1111111196,16,,3,3,B,B,90,"('132550','GLENN','CIARDI','','25','2','2','6','','1111111196','16','','3','3','B','B','90'),",,,,,
132682,GREWAL,SHUBEG,,25,3,3,7,,1111111197,16,,3,3,C,C,90,"('132682','GREWAL','SHUBEG','','25','3','3','7','','1111111197','16','','3','3','C','C','90'),",,,,,
132706,GROVES,HILLERI,,25,4,1,8,,1111111198,16,,3,3,A,A,90,"('132706','GROVES','HILLERI','','25','4','1','8','','1111111198','16','','3','3','A','A','90'),",,,,,
132754,GURECK,WILLIAM,,25,1,2,1,,1111111199,16,,3,3,B,B,90,"('132754','GURECK','WILLIAM','','25','1','2','1','','1111111199','16','','3','3','B','B','90'),",,,,,
132796,HALL,DUNCAN,,25,2,3,2,,1111111200,16,,3,3,C,C,90,"('132796','HALL','DUNCAN','','25','2','3','2','','1111111200','16','','3','3','C','C','90'),",,,,,
132922,HAUSER,CHARLOTTE,,25,3,1,3,,1111111201,16,,3,3,A,A,90,"('132922','HAUSER','CHARLOTTE','','25','3','1','3','','1111111201','16','','3','3','A','A','90'),",,,,,
133216,HUSSEY,JOSEPH,,25,4,2,4,,1111111202,16,,3,3,B,B,90,"('133216','HUSSEY','JOSEPH','','25','4','2','4','','1111111202','16','','3','3','B','B','90'),",,,,,
133444,KANE,ALEXANDER,,25,1,3,5,,1111111203,16,,3,3,C,C,90,"('133444','KANE','ALEXANDER','','25','1','3','5','','1111111203','16','','3','3','C','C','90'),",,,,,
133528,KEMPA,STEVEN,,25,2,1,6,,1111111204,16,,3,3,A,A,90,"('133528','KEMPA','STEVEN','','25','2','1','6','','1111111204','16','','3','3','A','A','90'),",,,,,
133534,KEMPEL,KOLTON,,25,3,2,7,,1111111205,16,,3,3,B,B,90,"('133534','KEMPEL','KOLTON','','25','3','2','7','','1111111205','16','','3','3','B','B','90'),",,,,,
133612,KINDERVATER,DANIEL,,25,4,3,8,,1111111206,16,,3,3,C,C,90,"('133612','KINDERVATER','DANIEL','','25','4','3','8','','1111111206','16','','3','3','C','C','90'),",,,,,
133792,LAMB,RYAN,,25,1,1,1,,1111111207,16,,3,3,A,A,90,"('133792','LAMB','RYAN','','25','1','1','1','','1111111207','16','','3','3','A','A','90'),",,,,,
133906,LAYUG,CHRISTINE,,25,2,2,2,,1111111208,16,,3,3,B,B,90,"('133906','LAYUG','CHRISTINE','','25','2','2','2','','1111111208','16','','3','3','B','B','90'),",,,,,
134350,MATACOTTA,ANTHONY,,25,3,3,3,,1111111209,16,,3,3,C,C,90,"('134350','MATACOTTA','ANTHONY','','25','3','3','3','','1111111209','16','','3','3','C','C','90'),",,,,,
134482,MCLEAN,CHASE,,25,4,1,4,,1111111210,16,,3,3,A,A,90,"('134482','MCLEAN','CHASE','','25','4','1','4','','1111111210','16','','3','3','A','A','90'),",,,,,
134614,MILLER,MATTHEW,,25,1,2,5,,1111111211,16,,3,3,B,B,90,"('134614','MILLER','MATTHEW','','25','1','2','5','','1111111211','16','','3','3','B','B','90'),",,,,,
134932,NEWTON,MICHAEL,,25,2,3,6,,1111111212,16,,3,3,C,C,90,"('134932','NEWTON','MICHAEL','','25','2','3','6','','1111111212','16','','3','3','C','C','90'),",,,,,
135232,PARUSO,TONI,,25,3,1,7,,1111111213,16,,3,3,A,A,90,"('135232','PARUSO','TONI','','25','3','1','7','','1111111213','16','','3','3','A','A','90'),",,,,,
135616,RAUCH,JOHN,,25,4,2,8,,1111111214,16,,3,3,B,B,90,"('135616','RAUCH','JOHN','','25','4','2','8','','1111111214','16','','3','3','B','B','90'),",,,,,
135634,RAYNES,MICHAEL,,25,1,3,1,,1111111215,16,,3,3,C,C,90,"('135634','RAYNES','MICHAEL','','25','1','3','1','','1111111215','16','','3','3','C','C','90'),",,,,,
135754,RICHMOND,MATTHEW,,25,2,1,2,,1111111216,16,,3,3,A,A,90,"('135754','RICHMOND','MATTHEW','','25','2','1','2','','1111111216','16','','3','3','A','A','90'),",,,,,
135892,ROCKEFELLER,COLIN,,25,3,2,3,,1111111217,16,,3,3,B,B,90,"('135892','ROCKEFELLER','COLIN','','25','3','2','3','','1111111217','16','','3','3','B','B','90'),",,,,,
136222,SEESE,RAYMOND,,25,4,3,4,,1111111218,16,,3,3,C,C,90,"('136222','SEESE','RAYMOND','','25','4','3','4','','1111111218','16','','3','3','C','C','90'),",,,,,
136390,SLACK,PATRICK,,25,1,1,5,,1111111219,16,,3,3,A,A,90,"('136390','SLACK','PATRICK','','25','1','1','5','','1111111219','16','','3','3','A','A','90'),",,,,,
136498,SO,WILLIAM,,25,2,2,6,,1111111220,16,,3,3,B,B,90,"('136498','SO','WILLIAM','','25','2','2','6','','1111111220','16','','3','3','B','B','90'),",,,,,
136522,SOTO,FRANCHESKA,,25,3,3,7,,1111111221,16,,3,3,C,C,90,"('136522','SOTO','FRANCHESKA','','25','3','3','7','','1111111221','16','','3','3','C','C','90'),",,,,,
136528,SOTOMAYOR,JESSICA,,25,4,1,8,,1111111222,16,,3,3,A,A,90,"('136528','SOTOMAYOR','JESSICA','','25','4','1','8','','1111111222','16','','3','3','A','A','90'),",,,,,
136546,SPERRY,DAVID,,25,1,2,1,,1111111223,16,,3,3,B,B,90,"('136546','SPERRY','DAVID','','25','1','2','1','','1111111223','16','','3','3','B','B','90'),",,,,,
136816,THOMERSON,LORA,,25,2,3,2,,1111111224,16,,3,3,C,C,90,"('136816','THOMERSON','LORA','','25','2','3','2','','1111111224','16','','3','3','C','C','90'),",,,,,
136930,TURNER,JAMES,,25,3,1,3,,1111111225,16,,3,3,A,A,90,"('136930','TURNER','JAMES','','25','3','1','3','','1111111225','16','','3','3','A','A','90'),",,,,,
136972,VAN DRIESSCHE,AARON,,25,4,2,4,,1111111226,16,,3,3,B,B,90,"('136972','VAN DRIESSCHE','AARON','','25','4','2','4','','1111111226','16','','3','3','B','B','90'),",,,,,
140474,BERNARDY,KIMBERLY,,25,1,3,5,,1111111227,16,,3,3,C,C,90,"('140474','BERNARDY','KIMBERLY','','25','1','3','5','','1111111227','16','','3','3','C','C','90'),",,,,,
140576,BOUCHOT,ALFREDO,,25,2,1,6,,1111111228,16,,3,3,A,A,90,"('140576','BOUCHOT','ALFREDO','','25','2','1','6','','1111111228','16','','3','3','A','A','90'),",,,,,
140642,BRANTLEY,AARON,,25,3,2,7,,1111111229,16,,3,3,B,B,90,"('140642','BRANTLEY','AARON','','25','3','2','7','','1111111229','16','','3','3','B','B','90'),",,,,,
140732,BRUBAKER,ROBERT,,25,4,3,8,,1111111230,16,,3,3,C,C,90,"('140732','BRUBAKER','ROBERT','','25','4','3','8','','1111111230','16','','3','3','C','C','90'),",,,,,
140942,CASPER,BRENDAN,,25,1,1,1,,1111111231,16,,3,3,A,A,90,"('140942','CASPER','BRENDAN','','25','1','1','1','','1111111231','16','','3','3','A','A','90'),",,,,,
140960,CASTRO,NICOLE,,25,2,2,2,,1111111232,16,,3,3,B,B,90,"('140960','CASTRO','NICOLE','','25','2','2','2','','1111111232','16','','3','3','B','B','90'),",,,,,
141020,CHANG,JACK,,25,3,3,3,,1111111233,16,,3,3,C,C,90,"('141020','CHANG','JACK','','25','3','3','3','','1111111233','16','','3','3','C','C','90'),",,,,,
141632,DEMPSEY,CONNER,,25,4,1,4,,1111111234,16,,3,3,A,A,90,"('141632','DEMPSEY','CONNER','','25','4','1','4','','1111111234','16','','3','3','A','A','90'),",,,,,
141854,DURKIN,PATRICK,,25,1,2,5,,1111111235,16,,3,3,B,B,90,"('141854','DURKIN','PATRICK','','25','1','2','5','','1111111235','16','','3','3','B','B','90'),",,,,,
142628,GRIMM,MATTHEW,,25,2,3,6,,1111111236,16,,3,3,C,C,90,"('142628','GRIMM','MATTHEW','','25','2','3','6','','1111111236','16','','3','3','C','C','90'),",,,,,
142700,HALL,DAVID,,25,3,1,7,,1111111237,16,,3,3,A,A,90,"('142700','HALL','DAVID','','25','3','1','7','','1111111237','16','','3','3','A','A','90'),",,,,,
143066,HUGGINS,BENJAMIN,,25,4,2,8,,1111111238,16,,3,3,B,B,90,"('143066','HUGGINS','BENJAMIN','','25','4','2','8','','1111111238','16','','3','3','B','B','90'),",,,,,
143072,HUGHES,BRYNMOR,,25,1,3,1,,1111111239,16,,3,3,C,C,90,"('143072','HUGHES','BRYNMOR','','25','1','3','1','','1111111239','16','','3','3','C','C','90'),",,,,,
143234,JOHNSON,CHRISTOPHER,,25,2,1,2,,1111111240,16,,3,3,A,A,90,"('143234','JOHNSON','CHRISTOPHER','','25','2','1','2','','1111111240','16','','3','3','A','A','90'),",,,,,
143654,KRYSIL,THOMAS,,25,3,2,3,,1111111241,16,,3,3,B,B,90,"('143654','KRYSIL','THOMAS','','25','3','2','3','','1111111241','16','','3','3','B','B','90'),",,,,,
144272,MAW,KELLY,,25,4,3,4,,1111111242,16,,3,3,C,C,90,"('144272','MAW','KELLY','','25','4','3','4','','1111111242','16','','3','3','C','C','90'),",,,,,
144278,MAYES,CHRISTOPHER,,25,1,1,5,,1111111243,16,,3,3,A,A,90,"('144278','MAYES','CHRISTOPHER','','25','1','1','5','','1111111243','16','','3','3','A','A','90'),",,,,,
144332,MCCLYMONT,GEORGE,,25,2,2,6,,1111111244,16,,3,3,B,B,90,"('144332','MCCLYMONT','GEORGE','','25','2','2','6','','1111111244','16','','3','3','B','B','90'),",,,,,
144992,OH,GREGORY,,25,3,3,7,,1111111245,16,,3,3,C,C,90,"('144992','OH','GREGORY','','25','3','3','7','','1111111245','16','','3','3','C','C','90'),",,,,,
145838,ROPER,BLAKE,,25,4,1,8,,1111111246,16,,3,3,A,A,90,"('145838','ROPER','BLAKE','','25','4','1','8','','1111111246','16','','3','3','A','A','90'),",,,,,
145964,SANTAMARIA,MARK,,25,1,2,1,,1111111247,16,,3,3,B,B,90,"('145964','SANTAMARIA','MARK','','25','1','2','1','','1111111247','16','','3','3','B','B','90'),",,,,,
146060,SCHMIDT,BRYAN,,25,2,3,2,,1111111248,16,,3,3,C,C,90,"('146060','SCHMIDT','BRYAN','','25','2','3','2','','1111111248','16','','3','3','C','C','90'),",,,,,
146078,SCHNEIDER,SKYLER,,25,3,1,3,,1111111249,16,,3,3,A,A,90,"('146078','SCHNEIDER','SKYLER','','25','3','1','3','','1111111249','16','','3','3','A','A','90'),",,,,,
146204,SHARPE,QUINCY,,25,4,2,4,,1111111250,16,,3,3,B,B,90,"('146204','SHARPE','QUINCY','','25','4','2','4','','1111111250','16','','3','3','B','B','90'),",,,,,
146396,SOKOLOSKI,PATRICK,,25,1,3,5,,1111111251,16,,3,3,C,C,90,"('146396','SOKOLOSKI','PATRICK','','25','1','3','5','','1111111251','16','','3','3','C','C','90'),",,,,,
